complaint_id,category,priority,reason,flag
KM-202401,Other,Standard,The description mentions the word 'heritage'.,NEEDS_REVIEW
KM-202402,Road Damage,Standard,The description mentions the word 'historic'.,
KM-202405,Noise,Standard,The description mentions the word 'wedding'.,
KM-202409,Pothole,Standard,The description mentions the word 'airport'.,
KM-202410,Pothole,Standard,The description mentions the word 'pothole'.,
KM-202411,Pothole,Standard,The description mentions the word 'deep'.,
KM-202415,Other,Standard,The description mentions the word 'new'.,NEEDS_REVIEW
KM-202418,Waste,Standard,The description mentions the word 'tourist'.,
KM-202421,Other,Urgent,The description mentions the word 'hospital'.,NEEDS_REVIEW
KM-202422,Road Damage,Standard,The description mentions the word 'road'.,
KM-202426,Heritage Damage,Standard,The description mentions the word 'heritage'.,
KM-202430,Road Damage,Standard,The description mentions the word 'road'.,
KM-202434,Heritage Damage,Standard,The description mentions the word 'street'.,
KM-202436,Streetlight,Standard,The description mentions the word 'entire'.,
KM-202438,Other,Standard,The description mentions the word 'street'.,NEEDS_REVIEW
