complaint_id,category,priority,reason,flag
KM-202401,Heritage Damage,Standard,Description mentions 'heritage' matching category 'Heritage Damage',
KM-202402,Other,Standard,No specific keywords matched; classified based on context,NEEDS_REVIEW
KM-202405,Other,Standard,No specific keywords matched; classified based on context,NEEDS_REVIEW
KM-202409,Pothole,Standard,Description mentions 'pothole' matching category 'Pothole',
KM-202410,Pothole,Standard,Description mentions 'pothole' matching category 'Pothole',
KM-202411,Pothole,Standard,Description mentions 'pothole' matching category 'Pothole',
KM-202415,Drain Blockage,Standard,Description mentions 'drain' matching category 'Drain Blockage',
KM-202418,Waste,Standard,Description mentions 'waste' matching category 'Waste',
KM-202421,Road Damage,Urgent,"Description contains severity keywords: hospital, fell",
KM-202422,Road Damage,Standard,Description mentions 'road surface' matching category 'Road Damage',
KM-202426,Heritage Damage,Standard,Description mentions 'heritage' matching category 'Heritage Damage',
KM-202430,Other,Standard,No specific keywords matched; classified based on context,NEEDS_REVIEW
KM-202434,Heritage Damage,Standard,Description mentions 'heritage' matching category 'Heritage Damage',
KM-202436,Other,Standard,No specific keywords matched; classified based on context,NEEDS_REVIEW
KM-202438,Heritage Damage,Standard,Description mentions 'heritage' matching category 'Heritage Damage',
