complaint_id,category,priority,reason,flag
AM-202401,Other,Standard,Classified as Other as no defined category keywords were found.,NEEDS_REVIEW
AM-202402,Other,Standard,Classified as Other as no defined category keywords were found.,NEEDS_REVIEW
AM-202405,Other,Standard,Classified as Other as no defined category keywords were found.,NEEDS_REVIEW
AM-202406,Heat Hazard,Standard,Classified as Heat Hazard based on the word 'heat'.,
AM-202407,Other,Urgent,"Classified as Other as no defined category keywords were found, and marked Urgent citing 'child'.",NEEDS_REVIEW
AM-202410,Pothole,Standard,Classified as Pothole based on the word 'pothole'.,
AM-202414,Other,Standard,Classified as Other as no defined category keywords were found.,NEEDS_REVIEW
AM-202417,Other,Standard,"Classified as Other due to ambiguous keywords (heritage, waste).",NEEDS_REVIEW
AM-202421,Noise,Standard,Classified as Noise based on the word 'music'.,
AM-202424,Road Damage,Standard,Classified as Road Damage based on the word 'road surface'.,
AM-202429,Other,Standard,Classified as Other as no defined category keywords were found.,NEEDS_REVIEW
AM-202431,Heritage Damage,Standard,Classified as Heritage Damage based on the word 'heritage'.,
AM-202435,Heat Hazard,Standard,Classified as Heat Hazard based on the word 'heat'.,
AM-202444,Waste,Standard,Classified as Waste based on the word 'waste'.,
AM-202445,Other,Standard,Classified as Other as no defined category keywords were found.,NEEDS_REVIEW
