complaint_id,category,priority,reason,flag
AM-202401,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
AM-202402,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
AM-202405,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
AM-202406,Heat Hazard,Standard,Contains 'heat' identifying the issue,STABLE
AM-202407,Other,Urgent,Contains 'child' indicating urgency,NEEDS_REVIEW
AM-202410,Pothole,Standard,Contains 'pothole' identifying the issue,STABLE
AM-202414,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
AM-202417,Waste,Standard,Contains 'waste' identifying the issue,STABLE
AM-202421,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
AM-202424,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
AM-202429,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
AM-202431,Heritage Damage,Standard,Contains 'heritage' identifying the issue,STABLE
AM-202435,Heat Hazard,Standard,Contains 'heat' identifying the issue,STABLE
AM-202444,Waste,Standard,Contains 'waste' identifying the issue,STABLE
AM-202445,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
