complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,Contains 'ambulance' indicating urgency,STABLE
GH-202402,Flooding,Standard,Contains 'flood' identifying the issue,STABLE
GH-202406,Drain Blockage,Standard,Contains 'drain' identifying the issue,STABLE
GH-202407,Drain Blockage,Standard,Contains 'drain' identifying the issue,STABLE
GH-202410,Pothole,Standard,Contains 'pothole' identifying the issue,STABLE
GH-202411,Pothole,Urgent,Contains 'hospital' indicating urgency,STABLE
GH-202412,Pothole,Urgent,Contains 'school' indicating urgency,STABLE
GH-202417,Waste,Standard,Contains 'waste' identifying the issue,STABLE
GH-202420,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
GH-202422,Other,Urgent,Contains 'collapse' indicating urgency,NEEDS_REVIEW
GH-202424,Flooding,Standard,Contains 'flood' identifying the issue,STABLE
GH-202428,Waste,Standard,Contains 'waste' identifying the issue,STABLE
GH-202432,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
GH-202448,Flooding,Standard,Contains 'flood' identifying the issue,STABLE
GH-202438,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
