complaint_id,category,priority,reason,flag
AM-202401,Other,Standard,Classified based on the specific presence of 'unclear issue' in the description.,
AM-202402,Other,Standard,Classified based on the specific presence of 'unclear issue' in the description.,
AM-202405,Other,Standard,Classified based on the specific presence of 'unclear issue' in the description.,
AM-202406,Other,Standard,Classified based on the specific presence of 'heat' in the description.,NEEDS_REVIEW
AM-202407,Road Damage,Urgent,Classified based on the specific presence of 'child' in the description.,
AM-202410,Pothole,Standard,Classified based on the specific presence of 'pothole' in the description.,
AM-202414,Other,Standard,Classified based on the specific presence of 'unclear issue' in the description.,
AM-202417,Other,Standard,Classified based on the specific presence of 'heritage' in the description.,NEEDS_REVIEW
AM-202421,Noise,Standard,Classified based on the specific presence of 'music' in the description.,
AM-202424,Other,Standard,Classified based on the specific presence of 'unclear issue' in the description.,
AM-202429,Other,Standard,Classified based on the specific presence of 'unclear issue' in the description.,
AM-202431,Heritage Damage,Standard,Classified based on the specific presence of 'heritage' in the description.,
AM-202435,Heat Hazard,Standard,Classified based on the specific presence of 'heat' in the description.,
AM-202444,Waste,Standard,Classified based on the specific presence of 'waste' in the description.,
AM-202445,Road Damage,Standard,Classified based on the specific presence of 'broken' in the description.,
