complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Classified as Pothole with Standard priority because description contains 'pothole'.,
PM-202402,Pothole,Urgent,Classified as Pothole with Urgent priority because description mentions 'school' and contains 'pothole'.,
PM-202406,Flooding,Standard,Classified as Flooding with Standard priority because description contains 'flooded'.,
PM-202408,Flooding,Standard,Classified as Flooding with Standard priority because description contains 'flooded'.,NEEDS_REVIEW
PM-202410,Streetlight,Standard,Classified as Streetlight with Standard priority because description contains 'streetlights'.,
PM-202411,Streetlight,Urgent,Classified as Streetlight with Urgent priority because description mentions 'hazard' and contains 'streetlight'.,
PM-202413,Waste,Standard,Classified as Waste with Standard priority because description contains 'garbage'.,
PM-202418,Noise,Standard,Classified as Noise with Standard priority because description contains 'music'.,
PM-202419,Road Damage,Standard,Classified as Road Damage with Standard priority because description contains 'road surface'.,
PM-202420,Drain Blockage,Urgent,Classified as Drain Blockage with Urgent priority because description mentions 'injury' and contains 'manhole'.,NEEDS_REVIEW
PM-202427,Flooding,Standard,Classified as Flooding with Standard priority because description contains 'floods'.,
PM-202428,Waste,Standard,Classified as Waste with Standard priority because description contains 'dead animal'.,
PM-202430,Heritage Damage,Standard,Classified as Heritage Damage with Standard priority because description contains 'heritage'.,NEEDS_REVIEW
PM-202433,Waste,Standard,Classified as Waste with Standard priority because description contains 'waste'.,
PM-202446,Road Damage,Urgent,Classified as Road Damage with Urgent priority because description mentions 'fell' and contains 'footpath'.,
