complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,Classified as Flooding because description mentions 'flood'; upgraded to Urgent due to 'ambulance'.,
GH-202402,Flooding,Standard,Classified as Flooding based on the presence of the word 'flood'.,
GH-202406,Flooding,Standard,Classified as Flooding based on the presence of the word 'water'.,
GH-202407,Drain Blockage,Standard,Classified as Drain Blockage based on the presence of the word 'drain'.,
GH-202410,Pothole,Standard,Classified as Pothole based on the presence of the word 'pothole'.,
GH-202411,Pothole,Urgent,Classified as Pothole because description mentions 'pothole'; upgraded to Urgent due to 'hospital'.,
GH-202412,Pothole,Urgent,Classified as Pothole because description mentions 'pothole'; upgraded to Urgent due to 'school'.,
GH-202417,Waste,Standard,Classified as Waste based on the presence of the word 'garbage'.,
GH-202420,Other,Standard,No specific category keywords found in description.,NEEDS_REVIEW
GH-202422,Pothole,Urgent,Classified as Pothole because description mentions 'crater'; upgraded to Urgent due to 'collapse'.,
GH-202424,Flooding,Standard,Classified as Flooding based on the presence of the word 'flood'.,
GH-202428,Heat Hazard,Standard,Classified as Heat Hazard based on the presence of the word 'sun'.,
GH-202432,Other,Standard,No specific category keywords found in description.,NEEDS_REVIEW
GH-202448,Flooding,Standard,Classified as Flooding based on the presence of the word 'flood'.,
GH-202438,Flooding,Standard,Classified as Flooding based on the presence of the word 'water'.,
