complaint_id,category,priority,reason,flag
PM-202401,Unknown,Low,Empty complaint text,Yes
PM-202402,Unknown,Low,Empty complaint text,Yes
PM-202406,Unknown,Low,Empty complaint text,Yes
PM-202408,Unknown,Low,Empty complaint text,Yes
PM-202410,Unknown,Low,Empty complaint text,Yes
PM-202411,Unknown,Low,Empty complaint text,Yes
PM-202413,Unknown,Low,Empty complaint text,Yes
PM-202418,Unknown,Low,Empty complaint text,Yes
PM-202419,Unknown,Low,Empty complaint text,Yes
PM-202420,Unknown,Low,Empty complaint text,Yes
PM-202427,Unknown,Low,Empty complaint text,Yes
PM-202428,Unknown,Low,Empty complaint text,Yes
PM-202430,Unknown,Low,Empty complaint text,Yes
PM-202433,Unknown,Low,Empty complaint text,Yes
PM-202446,Unknown,Low,Empty complaint text,Yes
