complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Classified as Pothole because description mentions 'pothole'.,
PM-202402,Pothole,Urgent,Classified as Pothole because description mentions 'pothole' and priority set to Urgent due to word 'child'.,
PM-202406,Flooding,Standard,Classified as Flooding because description mentions 'flooded'.,
PM-202408,Flooding,Standard,Classified as Flooding because description mentions 'flooded'.,
PM-202410,Streetlight,Standard,Classified as Streetlight because description mentions 'streetlight'.,
PM-202411,Streetlight,Urgent,Classified as Streetlight because description mentions 'streetlight' and priority set to Urgent due to word 'hazard'.,
PM-202413,Waste,Standard,Classified as Waste because description mentions 'garbage'.,
PM-202418,Noise,Standard,Classified as Noise because description mentions 'music'.,
PM-202419,Road Damage,Standard,Classified as Road Damage because description mentions 'road surface'.,
PM-202420,Pothole,Urgent,Classified as Pothole because description mentions 'manhole' and priority set to Urgent due to word 'injury'.,
PM-202427,Other,Standard,Category cannot be determined with high certainty from description alone.,NEEDS_REVIEW
PM-202428,Waste,Standard,Classified as Waste because description mentions 'animal'.,
PM-202430,Streetlight,Standard,Classified as Streetlight because description mentions 'lights out'.,
PM-202433,Waste,Standard,Classified as Waste because description mentions 'waste'.,
PM-202446,Road Damage,Urgent,Classified as Road Damage because description mentions 'footpath' and priority set to Urgent due to word 'fell'.,
