CITY MUNICIPAL CORPORATION,complaint_id,category,priority,reason,flag
HUMAN RESOURCES DEPARTMENT,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
EMPLOYEE LEAVE POLICY,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
Document Reference: HR-POL-001,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
Version: 2.3 | Effective: 1 April 2024,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
1. PURPOSE AND SCOPE,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
1.1 This policy governs all leave entitlements for permanent and,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    contractual employees of the City Municipal Corporation (CMC).,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
1.2 This policy does not apply to daily wage workers or consultants.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    Those categories are governed by their respective contracts.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
2. ANNUAL LEAVE,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
═══════════════════════════════════════════════════════════,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
2.1 Each permanent employee is entitled to 18 days of paid annual,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    leave per calendar year.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
2.2 Annual leave accrues at 1.5 days per month from the date of,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    joining.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
2.3 Employees must submit a leave application at least 14 calendar,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    days in advance using Form HR-L1.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
2.4 Leave applications must receive written approval from the,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    employee's direct manager before the leave commences.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    Verbal approval is not valid.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
2.5 Unapproved absence will be recorded as Loss of Pay (LOP),,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    regardless of subsequent approval.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
2.6 Employees may carry forward a maximum of 5 unused annual leave,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    days to the following calendar year. Any days above 5 are,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
    forfeited on 31 December.,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
2.7 Carry-forward days must be used within the first quarter,,Other,Low,Description missing or unreadable.,NEEDS_REVIEW
