| Clause | Core obligation | Binding verb |
|---|---|---|
| 1. | PURPOSE AND SCOPE ═══════════════════════════════════════════════════════════. |  |
| 1.1 | This policy governs acceptable use of all IT systems, devices, networks, and data owned or managed by the City Municipal Corporation (CMC). |  |
| 1.2 | This policy applies to all permanent employees, contractual staff, and third-party vendors with CMC system access. |  |
| 1.3 | Use of CMC IT resources implies acceptance of this policy. |  |
| 2. | CORPORATE DEVICES ═══════════════════════════════════════════════════════════. |  |
| 2.1 | Corporate devices (laptops, desktops, mobile phones issued by CMC) must be used primarily for official work purposes. | must |
| 2.2 | Personal use of corporate devices is permitted in moderation, provided it does not interfere with work duties or consume excessive bandwidth. |  |
| 2.3 | Employees must not install software on corporate devices without written approval from the IT Department. | must |
| 2.4 | Software approved for installation must be sourced from the CMC-approved software catalogue only. | must |
| 2.5 | Corporate devices must not be used to access gambling, adult content, or any site classified as harmful by the IT Department. | must |
| 2.6 | Corporate devices must have the CMC endpoint security agent installed and active at all times. | must |
| 3. | PERSONAL DEVICES (BYOD) ═══════════════════════════════════════════════════════════. |  |
| 3.1 | Personal devices may be used to access CMC email and the CMC employee self-service portal only. | may |
| 3.2 | Personal devices must not be used to access, store, or transmit classified or sensitive CMC data. | must |
| 3.3 | Personal devices must not be connected to the CMC internal network (wired or wireless). | must |
| 3.4 | Employees using personal devices for CMC email must enable device-level PIN or biometric lock. | must |
| 3.5 | If a personal device containing CMC email is lost or stolen, the employee must report it to the IT helpdesk within 4 hours so that a remote wipe of CMC data can be performed. | must |
| 4. | PASSWORDS AND ACCESS CONTROL ═══════════════════════════════════════════════════════════. |  |
| 4.1 | Employees must not share their CMC system passwords with any other person, including IT staff. | must |
| 4.2 | IT staff will never ask for your password. | will |
| 4.3 | Passwords must be changed every 90 days as prompted by the system. | must |
| 4.4 | Multi-factor authentication (MFA) is mandatory for all remote access to CMC systems. |  |
| 5. | DATA HANDLING ═══════════════════════════════════════════════════════════. |  |
| 5.1 | CMC data classified as Confidential or Restricted must not be stored on personal devices, personal cloud storage, or any system not approved by the IT Department. | must |
| 5.2 | Employees must not forward CMC email containing Confidential data to personal email accounts. | must |
| 5.3 | Printing of Confidential documents must use the secure print function. | must |
| 6. | INTERNET AND EMAIL USE ═══════════════════════════════════════════════════════════. |  |
| 6.1 | Internet use on CMC systems is monitored and logged. |  |
| 6.2 | Employees must not use CMC email addresses to register for personal services, social media, or non-work subscriptions. | must |
| 6.3 | Mass emails to external recipients must be approved by the Communications Department before sending. | must |
| 7. | VIOLATIONS AND CONSEQUENCES ═══════════════════════════════════════════════════════════. |  |
| 7.1 | Violations of this policy may result in disciplinary action up to and including termination of employment. | may |
| 7.2 | Violations involving unauthorised access to restricted data will be reported to law enforcement. | will |
| 7.3 | CMC reserves the right to monitor, access, and audit any activity on CMC-owned systems at any time without prior notice. |  |
