Municipal Budget Variance Analysis
========================================

Total records: 300
Valid records: 295
Missing actual-spend records: 5
Invalid records: 0

SIGNIFICANT OVERSPENDING
----------------------------------------
2024-01 | Ward 5 – Hadapsar | Parks & Greening | Budget: 2.50 | Actual: 2.80 | Variance: 0.30 | Variance %: 12.00%
2024-02 | Ward 2 – Shivajinagar | Waste Management | Budget: 6.40 | Actual: 7.10 | Variance: 0.70 | Variance %: 10.94%
2024-03 | Ward 1 – Kasba | Waste Management | Budget: 5.90 | Actual: 6.50 | Variance: 0.60 | Variance %: 10.17%
2024-03 | Ward 3 – Kothrud | Drainage & Flooding | Budget: 8.20 | Actual: 9.20 | Variance: 1.00 | Variance %: 12.20%
2024-03 | Ward 5 – Hadapsar | Streetlight Maintenance | Budget: 3.70 | Actual: 4.10 | Variance: 0.40 | Variance %: 10.81%
2024-04 | Ward 2 – Shivajinagar | Parks & Greening | Budget: 1.90 | Actual: 2.10 | Variance: 0.20 | Variance %: 10.53%
2024-04 | Ward 3 – Kothrud | Streetlight Maintenance | Budget: 4.00 | Actual: 4.50 | Variance: 0.50 | Variance %: 12.50%
2024-04 | Ward 5 – Hadapsar | Streetlight Maintenance | Budget: 3.70 | Actual: 4.10 | Variance: 0.40 | Variance %: 10.81%
2024-04 | Ward 5 – Hadapsar | Parks & Greening | Budget: 2.50 | Actual: 2.80 | Variance: 0.30 | Variance %: 12.00%
2024-05 | Ward 3 – Kothrud | Roads & Pothole Repair | Budget: 11.80 | Actual: 13.10 | Variance: 1.30 | Variance %: 11.02%
2024-06 | Ward 1 – Kasba | Roads & Pothole Repair | Budget: 13.00 | Actual: 14.80 | Variance: 1.80 | Variance %: 13.85%
2024-06 | Ward 1 – Kasba | Parks & Greening | Budget: 2.30 | Actual: 2.90 | Variance: 0.60 | Variance %: 26.09%
2024-06 | Ward 2 – Shivajinagar | Roads & Pothole Repair | Budget: 15.80 | Actual: 19.70 | Variance: 3.90 | Variance %: 24.68%
2024-06 | Ward 2 – Shivajinagar | Drainage & Flooding | Budget: 10.00 | Actual: 12.30 | Variance: 2.30 | Variance %: 23.00%
2024-06 | Ward 2 – Shivajinagar | Parks & Greening | Budget: 1.90 | Actual: 2.40 | Variance: 0.50 | Variance %: 26.32%
2024-06 | Ward 3 – Kothrud | Roads & Pothole Repair | Budget: 11.80 | Actual: 15.00 | Variance: 3.20 | Variance %: 27.12%
2024-06 | Ward 3 – Kothrud | Streetlight Maintenance | Budget: 4.00 | Actual: 4.50 | Variance: 0.50 | Variance %: 12.50%
2024-06 | Ward 3 – Kothrud | Parks & Greening | Budget: 3.30 | Actual: 4.00 | Variance: 0.70 | Variance %: 21.21%
2024-06 | Ward 4 – Warje | Roads & Pothole Repair | Budget: 10.30 | Actual: 12.50 | Variance: 2.20 | Variance %: 21.36%
2024-06 | Ward 4 – Warje | Streetlight Maintenance | Budget: 3.00 | Actual: 3.40 | Variance: 0.40 | Variance %: 13.33%
2024-06 | Ward 4 – Warje | Waste Management | Budget: 4.40 | Actual: 5.00 | Variance: 0.60 | Variance %: 13.64%
2024-06 | Ward 5 – Hadapsar | Roads & Pothole Repair | Budget: 14.30 | Actual: 17.90 | Variance: 3.60 | Variance %: 25.17%
2024-06 | Ward 5 – Hadapsar | Drainage & Flooding | Budget: 10.60 | Actual: 11.70 | Variance: 1.10 | Variance %: 10.38%
2024-06 | Ward 5 – Hadapsar | Waste Management | Budget: 6.10 | Actual: 6.90 | Variance: 0.80 | Variance %: 13.11%
2024-06 | Ward 5 – Hadapsar | Parks & Greening | Budget: 2.50 | Actual: 3.00 | Variance: 0.50 | Variance %: 20.00%
2024-07 | Ward 1 – Kasba | Roads & Pothole Repair | Budget: 13.00 | Actual: 19.70 | Variance: 6.70 | Variance %: 51.54%
2024-07 | Ward 1 – Kasba | Drainage & Flooding | Budget: 8.60 | Actual: 13.00 | Variance: 4.40 | Variance %: 51.16%
2024-07 | Ward 1 – Kasba | Streetlight Maintenance | Budget: 3.30 | Actual: 4.50 | Variance: 1.20 | Variance %: 36.36%
2024-07 | Ward 1 – Kasba | Waste Management | Budget: 5.90 | Actual: 7.60 | Variance: 1.70 | Variance %: 28.81%
2024-07 | Ward 1 – Kasba | Parks & Greening | Budget: 2.30 | Actual: 3.10 | Variance: 0.80 | Variance %: 34.78%
2024-07 | Ward 2 – Shivajinagar | Roads & Pothole Repair | Budget: 15.80 | Actual: 23.40 | Variance: 7.60 | Variance %: 48.10%
2024-07 | Ward 2 – Shivajinagar | Drainage & Flooding | Budget: 10.00 | Actual: 12.60 | Variance: 2.60 | Variance %: 26.00%
2024-07 | Ward 2 – Shivajinagar | Streetlight Maintenance | Budget: 4.40 | Actual: 6.00 | Variance: 1.60 | Variance %: 36.36%
2024-07 | Ward 2 – Shivajinagar | Waste Management | Budget: 6.40 | Actual: 7.80 | Variance: 1.40 | Variance %: 21.87%
2024-07 | Ward 2 – Shivajinagar | Parks & Greening | Budget: 1.90 | Actual: 2.30 | Variance: 0.40 | Variance %: 21.05%
2024-07 | Ward 3 – Kothrud | Roads & Pothole Repair | Budget: 11.80 | Actual: 19.00 | Variance: 7.20 | Variance %: 61.02%
2024-07 | Ward 3 – Kothrud | Drainage & Flooding | Budget: 8.20 | Actual: 10.00 | Variance: 1.80 | Variance %: 21.95%
2024-07 | Ward 3 – Kothrud | Streetlight Maintenance | Budget: 4.00 | Actual: 5.90 | Variance: 1.90 | Variance %: 47.50%
2024-07 | Ward 3 – Kothrud | Waste Management | Budget: 5.10 | Actual: 7.50 | Variance: 2.40 | Variance %: 47.06%
2024-07 | Ward 3 – Kothrud | Parks & Greening | Budget: 3.30 | Actual: 3.80 | Variance: 0.50 | Variance %: 15.15%
2024-07 | Ward 4 – Warje | Drainage & Flooding | Budget: 6.70 | Actual: 8.20 | Variance: 1.50 | Variance %: 22.39%
2024-07 | Ward 4 – Warje | Streetlight Maintenance | Budget: 3.00 | Actual: 4.20 | Variance: 1.20 | Variance %: 40.00%
2024-07 | Ward 4 – Warje | Waste Management | Budget: 4.40 | Actual: 5.40 | Variance: 1.00 | Variance %: 22.73%
2024-07 | Ward 4 – Warje | Parks & Greening | Budget: 1.60 | Actual: 1.90 | Variance: 0.30 | Variance %: 18.75%
2024-07 | Ward 5 – Hadapsar | Roads & Pothole Repair | Budget: 14.30 | Actual: 22.80 | Variance: 8.50 | Variance %: 59.44%
