period,ward,category,actual_spend,growth,formula,null_flag,notes
2024-01,Ward 4 – Warje,Roads & Pothole Repair,10.2,,(this_period - prev_period) / prev_period * 100,False,
2024-02,Ward 4 – Warje,Roads & Pothole Repair,10.7,4.902,(this_period - prev_period) / prev_period * 100,False,
2024-03,Ward 4 – Warje,Roads & Pothole Repair,11.1,3.7383,(this_period - prev_period) / prev_period * 100,False,
2024-04,Ward 4 – Warje,Roads & Pothole Repair,8.8,-20.7207,(this_period - prev_period) / prev_period * 100,False,
2024-05,Ward 4 – Warje,Roads & Pothole Repair,11.3,28.4091,(this_period - prev_period) / prev_period * 100,False,
2024-06,Ward 4 – Warje,Roads & Pothole Repair,12.5,10.6195,(this_period - prev_period) / prev_period * 100,False,
2024-07,Ward 4 – Warje,Roads & Pothole Repair,,,(this_period - prev_period) / prev_period * 100,True,Audit freeze — figures under review
2024-08,Ward 4 – Warje,Roads & Pothole Repair,16.0,,(this_period - prev_period) / prev_period * 100,False,
2024-09,Ward 4 – Warje,Roads & Pothole Repair,14.7,-8.125,(this_period - prev_period) / prev_period * 100,False,
2024-10,Ward 4 – Warje,Roads & Pothole Repair,11.0,-25.1701,(this_period - prev_period) / prev_period * 100,False,
2024-11,Ward 4 – Warje,Roads & Pothole Repair,9.0,-18.1818,(this_period - prev_period) / prev_period * 100,False,
2024-12,Ward 4 – Warje,Roads & Pothole Repair,11.2,24.4444,(this_period - prev_period) / prev_period * 100,False,
