period,actual_spend,growth_pct,formula_used,null_flag,null_reason
2024-01,10.9,NULL,N/A — first period (no prior month),False,
2024-02,10.4,-4.6%,(10.4 - 10.9) / 10.9 * 100 = -4.6%,False,
2024-03,NULL,NULL,N/A — null actual_spend,True,Data not submitted by ward office
2024-04,10.0,NULL,(10.0 - NULL) / NULL — prior month actual_spend is null,True,Data not submitted by ward office
2024-05,10.2,+2.0%,(10.2 - 10.0) / 10.0 * 100 = +2.0%,False,
2024-06,12.3,+20.6%,(12.3 - 10.2) / 10.2 * 100 = +20.6%,False,
2024-07,12.6,+2.4%,(12.6 - 12.3) / 12.3 * 100 = +2.4%,False,
2024-08,12.8,+1.6%,(12.8 - 12.6) / 12.6 * 100 = +1.6%,False,
2024-09,12.9,+0.8%,(12.9 - 12.8) / 12.8 * 100 = +0.8%,False,
2024-10,11.5,-10.9%,(11.5 - 12.9) / 12.9 * 100 = -10.9%,False,
2024-11,10.4,-9.6%,(10.4 - 11.5) / 11.5 * 100 = -9.6%,False,
2024-12,8.4,-19.2%,(8.4 - 10.4) / 10.4 * 100 = -19.2%,False,
