Ward,Category,Period,Actual Spend,Growth,Formula,Reason
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-01,15.3,N/A (Start period),N/A,
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-02,12.9,-15.7%,( 12.9 - 15.3 ) / 15.3,
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-03,13.1,+1.6%,( 13.1 - 12.9 ) / 12.9,
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-04,12.2,-6.9%,( 12.2 - 13.1 ) / 13.1,
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-05,12.6,+3.3%,( 12.6 - 12.2 ) / 12.2,
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-06,17.9,+42.1%,( 17.9 - 12.6 ) / 12.6,
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-07,22.8,+27.4%,( 22.8 - 17.9 ) / 17.9,
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-08,24.6,+7.9%,( 24.6 - 22.8 ) / 22.8,
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-09,20.6,-16.3%,( 20.6 - 24.6 ) / 24.6,
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-10,18.4,-10.7%,( 18.4 - 20.6 ) / 20.6,
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-11,14.4,-21.7%,( 14.4 - 18.4 ) / 18.4,
Ward 5 – Hadapsar,Roads & Pothole Repair,2024-12,12.6,-12.5%,( 12.6 - 14.4 ) / 14.4,
