period,ward,category,actual_spend,growth_rate,formula_shown,flag
2024-01,Ward 1 – Kasba,Parks & Greening,2.4,,N/A — first period,
2024-02,Ward 1 – Kasba,Parks & Greening,2.3,-4.2%,MoM: (2.3 − 2.4) / 2.4 = -4.2%,
2024-03,Ward 1 – Kasba,Parks & Greening,2.4,+4.3%,MoM: (2.4 − 2.3) / 2.3 = +4.3%,
2024-04,Ward 1 – Kasba,Parks & Greening,2.1,-12.5%,MoM: (2.1 − 2.4) / 2.4 = -12.5%,
2024-05,Ward 1 – Kasba,Parks & Greening,2.3,+9.5%,MoM: (2.3 − 2.1) / 2.1 = +9.5%,
2024-06,Ward 1 – Kasba,Parks & Greening,2.9,+26.1%,MoM: (2.9 − 2.3) / 2.3 = +26.1%,
2024-07,Ward 1 – Kasba,Parks & Greening,3.1,+6.9%,MoM: (3.1 − 2.9) / 2.9 = +6.9%,
2024-08,Ward 1 – Kasba,Parks & Greening,3.2,+3.2%,MoM: (3.2 − 3.1) / 3.1 = +3.2%,
2024-09,Ward 1 – Kasba,Parks & Greening,2.8,-12.5%,MoM: (2.8 − 3.2) / 3.2 = -12.5%,
2024-10,Ward 1 – Kasba,Parks & Greening,2.7,-3.6%,MoM: (2.7 − 2.8) / 2.8 = -3.6%,
2024-11,Ward 1 – Kasba,Parks & Greening,2.0,-25.9%,MoM: (2.0 − 2.7) / 2.7 = -25.9%,
2024-12,Ward 1 – Kasba,Parks & Greening,2.2,+10.0%,MoM: (2.2 − 2.0) / 2.0 = +10.0%,
