period,ward,category,actual_spend,growth_rate,formula_shown,flag
2024-01,Ward 2 – Shivajinagar,Roads & Pothole Repair,16.2,,N/A — first period,
2024-02,Ward 2 – Shivajinagar,Roads & Pothole Repair,16.8,+3.7%,MoM: (16.8 − 16.2) / 16.2 = +3.7%,
2024-03,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.9,-5.4%,MoM: (15.9 − 16.8) / 16.8 = -5.4%,
2024-04,Ward 2 – Shivajinagar,Roads & Pothole Repair,14.3,-10.1%,MoM: (14.3 − 15.9) / 15.9 = -10.1%,
2024-05,Ward 2 – Shivajinagar,Roads & Pothole Repair,14.4,+0.7%,MoM: (14.4 − 14.3) / 14.3 = +0.7%,
2024-06,Ward 2 – Shivajinagar,Roads & Pothole Repair,19.7,+36.8%,MoM: (19.7 − 14.4) / 14.4 = +36.8%,
2024-07,Ward 2 – Shivajinagar,Roads & Pothole Repair,23.4,+18.8%,MoM: (23.4 − 19.7) / 19.7 = +18.8%,
2024-08,Ward 2 – Shivajinagar,Roads & Pothole Repair,22.8,-2.6%,MoM: (22.8 − 23.4) / 23.4 = -2.6%,
2024-09,Ward 2 – Shivajinagar,Roads & Pothole Repair,24.6,+7.9%,MoM: (24.6 − 22.8) / 22.8 = +7.9%,
2024-10,Ward 2 – Shivajinagar,Roads & Pothole Repair,17.3,-29.7%,MoM: (17.3 − 24.6) / 24.6 = -29.7%,
2024-11,Ward 2 – Shivajinagar,Roads & Pothole Repair,17.0,-1.7%,MoM: (17.0 − 17.3) / 17.3 = -1.7%,
2024-12,Ward 2 – Shivajinagar,Roads & Pothole Repair,14.4,-15.3%,MoM: (14.4 − 17.0) / 17.0 = -15.3%,
