period,ward,category,budgeted_amount,actual_spend,growth_type,formula,growth_result,status,flag_reason,notes
2024-01,Ward 1 – Kasba,Roads & Pothole Repair,13.0,13.3,MoM,MoM growth % = (current - previous_month) / previous_month * 100,,NO_BASELINE,No previous month available for MoM.,
2024-02,Ward 1 – Kasba,Roads & Pothole Repair,13.0,12.2,MoM,MoM growth % = (current - previous_month) / previous_month * 100,-8.3%,OK,,
2024-03,Ward 1 – Kasba,Roads & Pothole Repair,13.0,12.3,MoM,MoM growth % = (current - previous_month) / previous_month * 100,0.8%,OK,,
2024-04,Ward 1 – Kasba,Roads & Pothole Repair,13.0,13.4,MoM,MoM growth % = (current - previous_month) / previous_month * 100,8.9%,OK,,
2024-05,Ward 1 – Kasba,Roads & Pothole Repair,13.0,14.1,MoM,MoM growth % = (current - previous_month) / previous_month * 100,5.2%,OK,,
2024-06,Ward 1 – Kasba,Roads & Pothole Repair,13.0,14.8,MoM,MoM growth % = (current - previous_month) / previous_month * 100,5.0%,OK,,
2024-07,Ward 1 – Kasba,Roads & Pothole Repair,13.0,19.7,MoM,MoM growth % = (current - previous_month) / previous_month * 100,33.1%,OK,,
2024-08,Ward 1 – Kasba,Roads & Pothole Repair,13.0,20.2,MoM,MoM growth % = (current - previous_month) / previous_month * 100,2.5%,OK,,
2024-09,Ward 1 – Kasba,Roads & Pothole Repair,13.0,20.1,MoM,MoM growth % = (current - previous_month) / previous_month * 100,-0.5%,OK,,
2024-10,Ward 1 – Kasba,Roads & Pothole Repair,13.0,13.1,MoM,MoM growth % = (current - previous_month) / previous_month * 100,-34.8%,OK,,
2024-11,Ward 1 – Kasba,Roads & Pothole Repair,13.0,14.2,MoM,MoM growth % = (current - previous_month) / previous_month * 100,8.4%,OK,,
2024-12,Ward 1 – Kasba,Roads & Pothole Repair,13.0,12.7,MoM,MoM growth % = (current - previous_month) / previous_month * 100,-10.6%,OK,,
