Ward,Category,Period,Actual Spend (₹ lakh),Growth,Formula,Notes
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-01,16.2,N/A,Baseline (First Period/Prev Null),
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-02,16.8,+3.7%,(16.8 - 16.2) / 16.2,
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-03,15.9,-5.4%,(15.9 - 16.8) / 16.8,
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-04,14.3,-10.1%,(14.3 - 15.9) / 15.9,
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-05,14.4,+0.7%,(14.4 - 14.3) / 14.3,
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-06,19.7,+36.8%,(19.7 - 14.4) / 14.4,
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-07,23.4,+18.8%,(23.4 - 19.7) / 19.7,
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-08,22.8,-2.6%,(22.8 - 23.4) / 23.4,
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-09,24.6,+7.9%,(24.6 - 22.8) / 22.8,
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-10,17.3,-29.7%,(17.3 - 24.6) / 24.6,
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-11,17.0,-1.7%,(17.0 - 17.3) / 17.3,
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-12,14.4,-15.3%,(14.4 - 17.0) / 17.0,
