period,ward,category,budgeted_amount,actual_spend,formula,growth_value,flag
2024-01,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.9,MoM: N/A — no previous month in scope,,
2024-02,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.4,MoM: ((10.4 - 10.9) / 10.9) * 100,-4.6,
2024-03,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,,MoM: N/A — skipped (null actual_spend),,NULL - Data not submitted by ward office
2024-04,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.0,MoM: N/A — no previous month in scope,,
2024-05,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.2,MoM: ((10.2 - 10) / 10) * 100,2.0,
2024-06,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,12.3,MoM: ((12.3 - 10.2) / 10.2) * 100,20.6,
2024-07,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,12.6,MoM: ((12.6 - 12.3) / 12.3) * 100,2.4,
2024-08,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,12.8,MoM: ((12.8 - 12.6) / 12.6) * 100,1.6,
2024-09,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,12.9,MoM: ((12.9 - 12.8) / 12.8) * 100,0.8,
2024-10,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,11.5,MoM: ((11.5 - 12.9) / 12.9) * 100,-10.9,
2024-11,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.4,MoM: ((10.4 - 11.5) / 11.5) * 100,-9.6,
2024-12,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,8.4,MoM: ((8.4 - 10.4) / 10.4) * 100,-19.2,
