complaint_id,category,priority,reason,flag
AM-202401,Other,Standard,Description did not match any known category keywords; classified as Other.,NEEDS_REVIEW
AM-202402,Other,Standard,Description did not match any known category keywords; classified as Other.,NEEDS_REVIEW
AM-202405,Other,Standard,Description did not match any known category keywords; classified as Other.,NEEDS_REVIEW
AM-202406,Heat Hazard,Standard,"Description mentions 'heatwave', indicating category Heat Hazard.",
AM-202407,Other,Urgent,Description contains urgency keyword 'child'; classified as Other based on overall context.,NEEDS_REVIEW
AM-202410,Pothole,Standard,"Description mentions 'pothole', indicating category Pothole.",
AM-202414,Other,Standard,Description did not match any known category keywords; classified as Other.,NEEDS_REVIEW
AM-202417,Waste,Standard,"Description mentions 'waste', indicating category Waste.",NEEDS_REVIEW
AM-202421,Noise,Standard,"Description mentions 'music', indicating category Noise.",
AM-202424,Road Damage,Standard,"Description mentions 'road surface', indicating category Road Damage.",
AM-202429,Other,Standard,Description did not match any known category keywords; classified as Other.,NEEDS_REVIEW
AM-202431,Heritage Damage,Standard,"Description mentions 'heritage', indicating category Heritage Damage.",
AM-202435,Other,Standard,Description did not match any known category keywords; classified as Other.,NEEDS_REVIEW
AM-202444,Waste,Standard,"Description mentions 'waste', indicating category Waste.",
AM-202445,Other,Standard,Description did not match any known category keywords; classified as Other.,NEEDS_REVIEW
