complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"The description mentions 'flooded', which indicates the Flooding category.",
GH-202402,Flooding,Standard,"The description mentions 'flooded', which indicates the Flooding category.",
GH-202406,Drainage,Standard,"The description mentions 'drain', which indicates the Drainage category.",
GH-202407,Drainage,Standard,"The description mentions 'drain', which indicates the Drainage category.",
GH-202410,Pothole,Standard,"The description mentions 'potholes', which indicates the Pothole category.",
GH-202411,Pothole,Urgent,"The description mentions 'pothole', which indicates the Pothole category.",
GH-202412,Pothole,Urgent,"The description mentions 'potholes', which indicates the Pothole category.",
GH-202417,Waste,Standard,"The description mentions 'garbage', which indicates the Waste category.",
GH-202420,Noise,Standard,"The description mentions 'drilling', which indicates the Noise category.",
GH-202422,Road Damage,Urgent,"The description mentions 'road collapsed', which indicates the Road Damage category.",
GH-202424,Flooding,Standard,"The description mentions 'floods', which indicates the Flooding category.",
GH-202428,Waste,Standard,"The description mentions 'waste', which indicates the Waste category.",
GH-202432,Noise,Standard,"The description mentions 'engines', which indicates the Noise category.",
GH-202448,Flooding,Urgent,"The description mentions 'flooding', which indicates the Flooding category.",
GH-202438,Flooding,Standard,"The description mentions 'rainwater', which indicates the Flooding category.",
