complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,"The description mentions 'pothole', which indicates the Pothole category.",
PM-202402,Pothole,Urgent,"The description mentions 'pothole', which indicates the Pothole category.",
PM-202406,Flooding,Urgent,"The description mentions 'flooded', which indicates the Flooding category.",
PM-202408,Flooding,Standard,"The description mentions 'flooded', which indicates the Flooding category.",
PM-202410,Streetlight,Standard,"The description mentions 'streetlights', which indicates the Streetlight category.",
PM-202411,Streetlight,Urgent,"The description mentions 'streetlight', which indicates the Streetlight category.",
PM-202413,Waste,Standard,"The description mentions 'garbage', which indicates the Waste category.",
PM-202418,Noise,Standard,"The description mentions 'music', which indicates the Noise category.",
PM-202419,Road Damage,Standard,"The description mentions 'road surface', which indicates the Road Damage category.",
PM-202420,Drainage,Urgent,"The description mentions 'manhole', which indicates the Drainage category.",
PM-202427,Flooding,Standard,"The description mentions 'floods', which indicates the Flooding category.",
PM-202428,Waste,Standard,"The description mentions 'dead animal', which indicates the Waste category.",
PM-202430,Streetlight,Standard,"The description mentions 'lights', which indicates the Streetlight category.",
PM-202433,Waste,Standard,"The description mentions 'waste', which indicates the Waste category.",
PM-202446,Road Damage,Urgent,"The description mentions 'footpath', which indicates the Road Damage category.",
